Source;Target;Type;Friedenssicherung;Soziale Sicherheit;Zuwanderung;Klima- und Umweltschutz;Wirtschaftswachstum;Stabilitaet der Währung;Verbraucherschutz;Relevanz_gesamt
Alternative fuer Deutschland;Buendnis Sahra Wagenknecht;ungerichtet;0.8976;0.9728;0.9314;0.7847;0.5287;0.7395;0.7922;0.9584
Alternative fuer Deutschland;Christlich Demokratische/Soziale Union;ungerichtet;0.9787;0.8729;0.921;0.7142;0.6758;0.8344;0.9402;0.9845
Alternative fuer Deutschland;Die Linke;ungerichtet;0.9412;0.8489;0.9973;0.6941;0.7008;0.7903;0.8076;0.9687
Alternative fuer Deutschland;Die PARTEI;ungerichtet;0.9625;0.7837;0.9444;0.5662;0.8925;0.9444;0.8744;0.7444
Alternative fuer Deutschland;Familien-Partei Deutschlands;ungerichtet;0.9905;0.6337;0.9897;0.6996;0.6403;0.6139;0.8908;0.947
Alternative fuer Deutschland;Freie Demokratische Partei;ungerichtet;0.9692;0.9279;0.8866;0.8077;0.5748;0.849;0.8903;0.9759
Alternative fuer Deutschland;Freie Waehler;ungerichtet;0.9709;0.8967;0.9514;0.7855;0.7996;0.8914;0.8543;0.9765
Alternative fuer Deutschland;Buendnis 90/Die Gruenen;ungerichtet;0.9573;0.9109;0.9782;0.6446;0.7048;0.8954;0.8191;0.9451
Alternative fuer Deutschland;Oekologisch-Demokratische Partei;ungerichtet;0.9806;0.8065;0.9506;0.3864;0.8156;0.8846;0.7165;0.8486
Alternative fuer Deutschland;Partei des Fortschritts;ungerichtet;0.9599;0.8714;0.9351;0.806;0.7216;0.942;0.8215;0.9648
Alternative fuer Deutschland;Sozialdemokratische Partei Deutschlands;ungerichtet;0.9358;0.9054;0.9483;0.6336;0.6676;0.9233;0.7838;0.9398
Alternative fuer Deutschland;Partei Mensch Umwelt Tierschutz;ungerichtet;0.9993;0.8896;0.9713;0.0556;0.8735;0.9579;0.8347;0.6922
Alternative fuer Deutschland;Volt Deutschland;ungerichtet;0.9906;0.8779;0.8535;0.6305;0.7013;0.8918;0.8338;0.9611
Buendnis Sahra Wagenknecht;Christlich Demokratische/Soziale Union;ungerichtet;0.9189;0.9753;0.9766;0.8167;0.7782;0.9369;0.9573;0.9403
Buendnis Sahra Wagenknecht;Die Linke;ungerichtet;0.9564;0.9513;0.8948;0.7965;0.8033;0.8927;0.91;0.9446
Buendnis Sahra Wagenknecht;Die PARTEI;ungerichtet;0.8601;0.8862;0.8419;0.6687;0.9949;0.8419;0.9768;0.6337
Buendnis Sahra Wagenknecht;Familien-Partei Deutschlands;ungerichtet;0.8881;0.7361;0.9079;0.8021;0.7427;0.7164;0.9933;0.8669
Buendnis Sahra Wagenknecht;Freie Demokratische Partei;ungerichtet;0.9283;0.9697;0.989;0.9101;0.6772;0.9515;0.9928;0.9778
Buendnis Sahra Wagenknecht;Freie Waehler;ungerichtet;0.9267;0.9992;0.9461;0.8879;0.902;0.9939;0.9568;0.9371
Buendnis Sahra Wagenknecht;Buendnis 90/Die Gruenen;ungerichtet;0.9402;0.9867;0.9194;0.747;0.8072;0.9978;0.9216;0.9249
Buendnis Sahra Wagenknecht;Oekologisch-Demokratische Partei;ungerichtet;0.917;0.909;0.947;0.4889;0.918;0.987;0.819;0.7725
Buendnis Sahra Wagenknecht;Partei des Fortschritts;ungerichtet;0.8574;0.9739;0.9624;0.9084;0.8241;0.9556;0.9239;0.9211
Buendnis Sahra Wagenknecht;Sozialdemokratische Partei Deutschlands;ungerichtet;0.9617;0.9921;0.9492;0.7361;0.77;0.9743;0.8863;0.9249
Buendnis Sahra Wagenknecht;Partei Mensch Umwelt Tierschutz;ungerichtet;0.8968;0.992;0.9263;0.1581;0.976;0.9397;0.9371;0.6107
Buendnis Sahra Wagenknecht;Volt Deutschland;ungerichtet;0.907;0.9803;0.9559;0.7329;0.8038;0.9943;0.9362;0.9055
Christlich Demokratische/Soziale Union;Die Linke;ungerichtet;0.9625;0.8702;0.9759;0.7154;0.7221;0.8116;0.8289;0.9678
Christlich Demokratische/Soziale Union;Die PARTEI;ungerichtet;0.9412;0.8051;0.9231;0.5875;0.9138;0.9231;0.8957;0.7988
Christlich Demokratische/Soziale Union;Familien-Partei Deutschlands;ungerichtet;0.9692;0.655;0.989;0.7209;0.6616;0.6352;0.9121;0.9368
